Country,Life expectancy
Bolivia (Plurinational State of),64.5
Bolivia (Plurinational State of),63.9
Bolivia (Plurinational State of),63.3
Bolivia (Plurinational State of),62.6
Bosnia and Herzegovina,77.4
Bosnia and Herzegovina,77.2
Bosnia and Herzegovina,77
Bosnia and Herzegovina,76.8
Bosnia and Herzegovina,76.9
Bosnia and Herzegovina,76.4
Bosnia and Herzegovina,76.1
Bosnia and Herzegovina,76
Bosnia and Herzegovina,75.4
Bosnia and Herzegovina,75.7
Bosnia and Herzegovina,75
Bosnia and Herzegovina,75.5
Bosnia and Herzegovina,75.2
Bosnia and Herzegovina,75.4
Bosnia and Herzegovina,74.9
Bosnia and Herzegovina,74.6
Botswana,65.7
Botswana,65.1
Botswana,64.2
Botswana,63.4
Botswana,62.2
Botswana,61.1
Botswana,59.2
Botswana,57.5
Botswana,56.9
Botswana,54.8
Botswana,51.7
Botswana,48.1
Botswana,46.4
Botswana,46
Botswana,46.7
Botswana,47.8
Brazil,75
Brazil,74.8
Brazil,74.7
Brazil,74.5
Brazil,74.1
Brazil,73.8
Brazil,73.6
Brazil,73.4
Brazil,73.3
Brazil,73
Brazil,72.7
Brazil,72
Brazil,71.8
Brazil,71.4
Brazil,71
Brazil,75
Brunei Darussalam,77.7
Brunei Darussalam,77.6
Brunei Darussalam,77.1
Brunei Darussalam,78.3
Brunei Darussalam,77.4
Brunei Darussalam,76.9
Brunei Darussalam,76.8
Brunei Darussalam,77.2
Brunei Darussalam,76
Brunei Darussalam,76.3
Brunei Darussalam,76.2
Brunei Darussalam,76.4
Brunei Darussalam,76
Brunei Darussalam,74.8
Brunei Darussalam,74.7
Brunei Darussalam,74.4
Bulgaria,74.5
Bulgaria,74.3
Bulgaria,74.1
Bulgaria,73.9
Bulgaria,73.7
Bulgaria,73.4
Bulgaria,73.2
Bulgaria,72.9
Bulgaria,72.6
Bulgaria,72.2
Bulgaria,72.1
Bulgaria,72.2
Bulgaria,72
Bulgaria,71.8
Bulgaria,71.6
Bulgaria,71.1
Burkina Faso,59.9
Burkina Faso,59.3
Burkina Faso,59
Burkina Faso,58.6
Burkina Faso,58.1
Burkina Faso,57.5
Burkina Faso,56.9
Burkina Faso,56.1
Burkina Faso,55.3
Burkina Faso,54.3
Burkina Faso,53.3
Burkina Faso,52.4
Burkina Faso,51.6
Burkina Faso,51
Burkina Faso,56
Burkina Faso,51
Burundi,59.6
Burundi,59.1
Burundi,58.6
Burundi,58
Burundi,57.4
Burundi,56.8
Burundi,56.2
Burundi,55.3
Burundi,54.8
Burundi,54.1
Burundi,53.4
Burundi,52.6
Burundi,51.9
Burundi,51.5
Burundi,51.3
Burundi,58
Côte d'Ivoire,53.3
Côte d'Ivoire,52.8
Côte d'Ivoire,52.3
Côte d'Ivoire,52
Côte d'Ivoire,51.7
Côte d'Ivoire,51.5
Côte d'Ivoire,51
Côte d'Ivoire,54
Côte d'Ivoire,49.9
Côte d'Ivoire,49.4
Côte d'Ivoire,48.7
Côte d'Ivoire,48.2
Côte d'Ivoire,48
Côte d'Ivoire,47.7
Côte d'Ivoire,47.8
Côte d'Ivoire,47.9
Cabo Verde,73.3
Cabo Verde,73
Cabo Verde,72.8
Cabo Verde,72.7
Cabo Verde,72.6
Cabo Verde,72.5
Cabo Verde,72.4
Cabo Verde,72.4
Cabo Verde,72.3
Cabo Verde,72.1
Cabo Verde,71.8
Cabo Verde,71.4
Cabo Verde,71.1
Cabo Verde,77
Cabo Verde,73
Cabo Verde,69.9
Cambodia,68.7
Cambodia,68.3
Cambodia,67.8
Cambodia,67.4
Cambodia,67
Cambodia,66.6
Cambodia,66.1
Cambodia,65.6
Cambodia,65
Cambodia,64.1
Cambodia,62.9
Cambodia,61.5
Cambodia,63
Cambodia,59.3
Cambodia,58.5
Cambodia,57.7
Cameroon,57.3
Cameroon,56.7
Cameroon,56.4
Cameroon,55.9
Cameroon,55.6
Cameroon,55.3
Cameroon,54.8
Cameroon,54.2
Cameroon,53.6
Cameroon,53.3
Cameroon,52.8
Cameroon,52.1
Cameroon,51.8
Cameroon,51.6
Cameroon,51.5
Cameroon,51.4
Canada,82.2
Canada,82
Canada,81.8
Canada,81.6
Canada,81.5
Canada,81.2
Canada,81
Canada,87
Canada,85
Canada,85
Canada,81
Canada,80
Canada,79.7
Canada,79.5
Canada,79.4
Canada,79.1
Central African Republic,52.5
Central African Republic,58
Central African Republic,49.9
Central African Republic,53
Central African Republic,49.8
Central African Republic,49.2
Central African Republic,48.6
Central African Republic,47.6
Central African Republic,46.8
Central African Republic,46.3
Central African Republic,45.9
Central African Republic,45.7
Central African Republic,45.7
Central African Republic,45.6
Central African Republic,45.6
Central African Republic,46
Chad,53.1
Chad,52.6
Chad,52.2
Chad,51.8
Chad,51.6
Chad,51.2
Chad,57
Chad,49.6
Chad,49.4
Chad,48.5
Chad,48.6
Chad,48.5
Chad,48.4
Chad,48.1
Chad,48
Chad,47.6
Chile,85
Chile,83
Chile,81
Chile,79.9
Chile,79.8
Chile,79.1
Chile,79.3
Chile,79.6
Chile,78.9
Chile,78.9
Chile,78.4
Chile,78
Chile,77.9
Chile,77.8
Chile,77.3
Chile,77.3
China,76.1
China,75.8
China,75.6
China,75.4
China,75.2
China,75
China,74.9
China,74.5
China,74.4
China,74.2
China,73.9
China,73.5
China,73.1
China,72.7
China,72.2
China,71.7
Colombia,74.8
Colombia,74.6
Colombia,74.4
Colombia,74.3
Colombia,74.2
Colombia,73.6
Colombia,73.6
Colombia,73.5
Colombia,73.5
Colombia,73.1
Colombia,73.1
Colombia,72.8
Colombia,72.4
Colombia,71.8
Colombia,71.5
Colombia,71.4
Comoros,63.5
Comoros,63.2
Comoros,62.9
Comoros,62.5
Comoros,62.2
Comoros,61.8
Comoros,61.3
Comoros,61
Comoros,66
Comoros,63
Comoros,60
Comoros,59.8
Comoros,59.6
Comoros,59.5
Comoros,59.5
Comoros,59.5
Congo,64.7
Congo,64.2
Congo,63.9
Congo,63.7
Congo,62.9
Congo,62
Congo,68
Congo,59.4
Congo,58.2
Congo,56.9
Congo,55.3
Congo,54.1
Congo,53.2
Congo,52.6
Congo,52.7
Congo,52.9
Cook Islands,
Costa Rica,79.6
Costa Rica,79.5
Costa Rica,79.4
Costa Rica,79.2
Costa Rica,79
Costa Rica,78.1
Costa Rica,79.2
Costa Rica,78.9
Costa Rica,78.9
Costa Rica,78
Costa Rica,78.6
Costa Rica,77.7
Costa Rica,78
Costa Rica,78.3
Costa Rica,77.5
Costa Rica,77.6
Croatia,78
Croatia,77.8
Croatia,77.7
Croatia,77.1
Croatia,77
Croatia,76.6
Croatia,76.3
Croatia,76
Croatia,75.8
Croatia,75.9
Croatia,75.2
Croatia,75.4
Croatia,74.7
Croatia,74.8
Croatia,74.9
Croatia,74.7
Cuba,79.1
Cuba,79
Cuba,78.7
Cuba,78.7
Cuba,78.8
Cuba,78
Cuba,78.1
Cuba,77.9
Cuba,78.1
Cuba,78
Cuba,77.2
Cuba,77.3
Cuba,77.4
Cuba,77.7
Cuba,76.7
Cuba,76.9
Cyprus,85
Cyprus,83
Cyprus,81
Cyprus,80
Cyprus,79.7
Cyprus,79.5
Cyprus,79.3
Cyprus,79.1
Cyprus,78.9
Cyprus,78.8
Cyprus,78.7
Cyprus,78.6
Cyprus,78.5
Cyprus,78.4
Cyprus,78.2
Cyprus,78.1
Czechia,78.8
Czechia,78.6
Czechia,78.2
Czechia,78
Czechia,77.8
Czechia,77.5
Czechia,77.1
Czechia,77
Czechia,76.8
Czechia,76.5
Czechia,75.9
Czechia,75.8
Czechia,75.2
Czechia,75.3
Czechia,75.1
Czechia,74.7
Democratic People's Republic of Korea,76
Democratic People's Republic of Korea,73
Democratic People's Republic of Korea,71
Democratic People's Republic of Korea,69.8
Democratic People's Republic of Korea,69.4
Democratic People's Republic of Korea,69
Democratic People's Republic of Korea,68.7
Democratic People's Republic of Korea,68.6
Democratic People's Republic of Korea,68.5
Democratic People's Republic of Korea,68.5
Democratic People's Republic of Korea,68.5
Democratic People's Republic of Korea,68.4
Democratic People's Republic of Korea,68.1
Democratic People's Republic of Korea,67.6
Democratic People's Republic of Korea,66.6
Democratic People's Republic of Korea,65.4
Democratic Republic of the Congo,59.8
Democratic Republic of the Congo,59.3
Democratic Republic of the Congo,58.8
Democratic Republic of the Congo,58.3
Democratic Republic of the Congo,57.9
Democratic Republic of the Congo,57.4
Democratic Republic of the Congo,56.7
Democratic Republic of the Congo,56.3
Democratic Republic of the Congo,55.7
Democratic Republic of the Congo,55
Democratic Republic of the Congo,54.3
Democratic Republic of the Congo,53.5
Democratic Republic of the Congo,52.8
Democratic Republic of the Congo,52.1
Democratic Republic of the Congo,51.8
Democratic Republic of the Congo,51.3
Denmark,86
Denmark,84
Denmark,81
Denmark,80
Denmark,79.7
Denmark,79.2
Denmark,78.9
Denmark,78.8
Denmark,78.4
Denmark,78.1
Denmark,78.1
Denmark,77.7
Denmark,77.3
Denmark,77
Denmark,77
Denmark,76.9
Djibouti,63.5
Djibouti,63
Djibouti,62.7
Djibouti,62.2
Djibouti,61.8
Djibouti,61.3
Djibouti,69
Djibouti,62
Djibouti,59.8
Djibouti,59.1
Djibouti,58.6
Djibouti,58.1
Djibouti,58
Djibouti,57.9
Djibouti,57.7
Djibouti,57.4
Dominica,
Dominican Republic,73.9
Dominican Republic,73.6
Dominican Republic,73.4
Dominican Republic,72.1
Dominican Republic,73.1
Dominican Republic,72.7
Dominican Republic,73.6
Dominican Republic,73.3
Dominican Republic,72.9
Dominican Republic,72.3
Dominican Republic,69.7
Dominican Republic,69.3
Dominican Republic,73
Dominican Republic,71.4
Dominican Republic,71.2
Dominican Republic,72
Ecuador,76.2
Ecuador,76
Ecuador,76
Ecuador,75.5
Ecuador,75.3
Ecuador,75
Ecuador,75.1
Ecuador,74.6
Ecuador,74.7
Ecuador,74.4
Ecuador,74.2
Ecuador,74.4
Ecuador,74.4
Ecuador,73.6
Ecuador,73.4
Ecuador,72.8
Egypt,79
Egypt,78
Egypt,79
Egypt,72
Egypt,74
Egypt,70
Egypt,69.9
Egypt,69.8
Egypt,69.7
Egypt,69.5
Egypt,69.4
Egypt,69
Egypt,68.6
Egypt,68.7
Egypt,68.6
Egypt,68.8
El Salvador,73.5
El Salvador,73.3
El Salvador,73
El Salvador,73
El Salvador,72
El Salvador,72
El Salvador,71.4
El Salvador,71.7
El Salvador,71.2
El Salvador,75
El Salvador,71
El Salvador,70
El Salvador,69.9
El Salvador,73
El Salvador,68.9
El Salvador,69
Equatorial Guinea,58.2
Equatorial Guinea,57.9
Equatorial Guinea,57.4
Equatorial Guinea,56.7
Equatorial Guinea,56.2
Equatorial Guinea,56.1
Equatorial Guinea,55.7
Equatorial Guinea,55.4
Equatorial Guinea,55
Equatorial Guinea,54.8
Equatorial Guinea,54.4
Equatorial Guinea,54.1
Equatorial Guinea,53.8
Equatorial Guinea,53.5
Equatorial Guinea,53.1
Equatorial Guinea,52.7
Eritrea,64.7
Eritrea,64.4
Eritrea,64
Eritrea,63.6
Eritrea,62.9
Eritrea,62.1
Eritrea,61.4
Eritrea,67
Eritrea,62
Eritrea,59.7
Eritrea,59.4
Eritrea,59.1
Eritrea,58.8
Eritrea,58.5
Eritrea,58.1
Eritrea,45.3
Estonia,77.6
Estonia,77.3
Estonia,76.9
Estonia,76.3
Estonia,76.1
Estonia,75.6
Estonia,74.9
Estonia,74.2
Estonia,73
Estonia,73
Estonia,72.8
Estonia,72.3
Estonia,71.9
Estonia,71.2
Estonia,78
Estonia,78
Ethiopia,64.8
Ethiopia,64.2
Ethiopia,63.7
Ethiopia,63.3
Ethiopia,62.6
Ethiopia,61.8
Ethiopia,68
Ethiopia,59.8
Ethiopia,58.5
Ethiopia,57.2
Ethiopia,56
Ethiopia,55
Ethiopia,54
Ethiopia,53.2
Ethiopia,52.5
Ethiopia,51.2
Fiji,69.9
Fiji,69.7
Fiji,69.6
Fiji,69.4
Fiji,69.2
Fiji,69.1
Fiji,68.9
Fiji,68.7
Fiji,68.6
Fiji,68.5
Fiji,68.3
Fiji,68.1
Fiji,68
Fiji,67.9
Fiji,67.8
Fiji,67.7
Finland,81.1
Finland,89
Finland,87
Finland,84
Finland,83
Finland,79.9
Finland,79.7
Finland,79.6
Finland,79.3
Finland,79.2
Finland,78.9
Finland,78.7
Finland,78.4
Finland,78.1
Finland,78
Finland,77.5
France,82.4
France,82.2
France,82
France,81.5
France,81.7
France,81.3
France,81.1
France,89
France,89
France,86
France,81
France,82
France,79.3
France,79.2
France,79
France,78.8
Gabon,66
Gabon,65.5
Gabon,64.6
Gabon,63.5
Gabon,62.8
Gabon,62.3
Gabon,61.7
Gabon,61.6
Gabon,61.6
Gabon,61.4
Gabon,65
Gabon,59.7
Gabon,59.7
Gabon,59.7
Gabon,59.8
Gabon,61
Gambia,61.1
Gambia,68
Gambia,66
Gambia,62
Gambia,59.8
Gambia,59.3
Gambia,59
Gambia,58.7
Gambia,58.5
Gambia,58.2
Gambia,57.7
Gambia,57.3
Gambia,57
Gambia,56.6
Gambia,56.3
Gambia,55.9
Georgia,74.4
Georgia,74.5
Georgia,74.5
Georgia,74.2
Georgia,73.9
Georgia,73.8
Georgia,73.2
Georgia,73.9
Georgia,74.4
Georgia,73.9
Georgia,73.9
Georgia,72.3
Georgia,72.7
Georgia,71.7
Georgia,73
Georgia,71.8
Germany,81
Germany,89
Germany,86
Germany,86
Germany,85
Germany,81
Germany,80
Germany,79.9
Germany,79.8
Germany,79.6
Germany,79.2
Germany,79.1
Germany,78.5
Germany,78.4
Germany,78.3
Germany,78
Ghana,62.4
Ghana,62.1
Ghana,61.9
Ghana,61.6
Ghana,61.2
Ghana,69
Ghana,66
Ghana,63
Ghana,59.9
Ghana,59.4
Ghana,58.9
Ghana,58.3
Ghana,57.9
Ghana,57.6
Ghana,57.4
Ghana,57.2
Greece,81
Greece,88
Greece,86
Greece,84
Greece,85
Greece,83
Greece,80
Greece,79.9
Greece,79.4
Greece,79.7
Greece,79.3
Greece,79.2
Greece,79.1
Greece,79
Greece,78.7
Greece,78.2
Grenada,73.6
Grenada,73.5
Grenada,73.3
Grenada,73.1
Grenada,72.9
Grenada,72.6
Grenada,72.4
Grenada,72.1
Grenada,71.9
Grenada,71.7
Grenada,71.5
Grenada,73
Grenada,71.1
Grenada,79
Grenada,77
Grenada,74
Guatemala,71.9
Guatemala,71.7
Guatemala,71.4
Guatemala,71.3
Guatemala,71.1
Guatemala,77
Guatemala,76
Guatemala,79
Guatemala,75
Guatemala,69.7
Guatemala,69.2
Guatemala,69.6
Guatemala,69.4
Guatemala,69.3
Guatemala,68.4
Guatemala,67.7
Guinea,59
Guinea,58.1
Guinea,58.8
Guinea,58.4
Guinea,58.1
Guinea,57.8
Guinea,57.3
Guinea,56.8
Guinea,56.4
Guinea,55.6
Guinea,54.7
Guinea,54
Guinea,53.3
Guinea,52.9
Guinea,52.5
Guinea,52.5
Guinea-Bissau,58.9
Guinea-Bissau,58.4
Guinea-Bissau,58.1
Guinea-Bissau,57.6
Guinea-Bissau,57.1
Guinea-Bissau,56.7
Guinea-Bissau,56.3
Guinea-Bissau,55.6
Guinea-Bissau,55
Guinea-Bissau,54.4
Guinea-Bissau,53.9
Guinea-Bissau,53.5
Guinea-Bissau,53
Guinea-Bissau,52.8
Guinea-Bissau,52.5
Guinea-Bissau,52.1
Guyana,66.2
Guyana,66
Guyana,65.9
Guyana,65.8
Guyana,65.6
Guyana,65.9
Guyana,66.1
Guyana,66.3
Guyana,65.7
Guyana,65.2
Guyana,65
Guyana,65.1
Guyana,65.3
Guyana,65.3
Guyana,65.4
Guyana,65.4
Haiti,63.5
Haiti,63.1
Haiti,62.7
Haiti,62.3
Haiti,62.3
Haiti,36.3
Haiti,62.5
Haiti,62.1
Haiti,61.8
Haiti,61.1
Haiti,65
Haiti,58.7
Haiti,59.7
Haiti,59.3
Haiti,58.9
Haiti,58.6
Honduras,74.6
Honduras,74.5
Honduras,74.3
Honduras,74.1
Honduras,73.9
Honduras,73.6
Honduras,73.4
Honduras,73.2
Honduras,73
Honduras,72.8
Honduras,72.5
Honduras,72.2
Honduras,71.9
Honduras,71.6
Honduras,71.3
Honduras,71
Hungary,75.8
Hungary,75.6
Hungary,75.5
Hungary,75
Hungary,74.8
Hungary,74.5
Hungary,74.2
Hungary,74.1
Hungary,73.5
Hungary,73.4
Hungary,72.9
Hungary,72.9
Hungary,72.5
Hungary,72.5
Hungary,72.3
Hungary,71.7
Iceland,82.7
Iceland,82.5
Iceland,82.4
Iceland,82.5
Iceland,82.1
Iceland,81.8
Iceland,81.6
Iceland,81.4
Iceland,81.3
Iceland,81.1
Iceland,81
Iceland,88
Iceland,87
Iceland,84
Iceland,80
Iceland,79.7
India,68.3
India,68
India,67.6
India,67.3
India,66.8
India,66.4
India,66
India,65.5
India,65.2
India,64.8
India,64.4
India,64
India,63.7
India,63.3
India,62.9
India,62.5
Indonesia,69.1
Indonesia,68.9
Indonesia,68.7
Indonesia,68.5
Indonesia,68.3
Indonesia,68.1
Indonesia,67.9
Indonesia,67.7
Indonesia,67.5
Indonesia,67.3
Indonesia,67.2
Indonesia,65.3
Indonesia,66.9
Indonesia,66.7
Indonesia,66.5
Indonesia,66.3
Iran (Islamic Republic of),75.5
Iran (Islamic Republic of),75.4
Iran (Islamic Republic of),75.3
Iran (Islamic Republic of),75.1
Iran (Islamic Republic of),74.7
Iran (Islamic Republic of),74.1
Iran (Islamic Republic of),73.3
Iran (Islamic Republic of),72.7
Iran (Islamic Republic of),72.4
Iran (Islamic Republic of),72.2
Iran (Islamic Republic of),72
Iran (Islamic Republic of),71.8
Iran (Islamic Republic of),75
Iran (Islamic Republic of),71.2
Iran (Islamic Republic of),78
Iran (Islamic Republic of),73
Iraq,68.9
Iraq,67.9
Iraq,69.5
Iraq,76
Iraq,77
Iraq,76
Iraq,74
Iraq,69.3
Iraq,65.9
Iraq,64.7
Iraq,66.8
Iraq,67.2
Iraq,66.5
Iraq,74
Iraq,72
Iraq,70
Ireland,81.4
Ireland,81.2
Ireland,81
Ireland,85
Ireland,84
Ireland,86
Ireland,79.7
Ireland,79.8
Ireland,79.5
Ireland,79
Ireland,78.7
Ireland,78.3
Ireland,78
Ireland,77.4
Ireland,77
Ireland,76.4
Israel,82.5
Israel,82.2
Israel,82.1
Israel,81.8
Israel,81.8
Israel,81.7
Israel,81.5
Israel,81
Israel,84
Israel,84
Israel,80
Israel,81
Israel,79.7
Israel,79.3
Israel,79.3
Israel,78.9
Italy,82.7
Italy,82.5
Italy,82.3
Italy,82
Italy,82
Italy,81.8
Italy,81.6
Italy,81.5
Italy,81.3
Italy,81.2
Italy,88
Italy,89
Italy,79.9
Italy,80
Italy,79.8
Italy,79.4
Jamaica,76.2
Jamaica,75.8
Jamaica,75.6
Jamaica,75.3
Jamaica,75.2
Jamaica,75
Jamaica,74.7
Jamaica,74.5
Jamaica,74.2
Jamaica,74
Jamaica,73.5
Jamaica,73.3
Jamaica,73.1
Jamaica,73
Jamaica,72.7
Jamaica,72.6
Japan,83.7
Japan,83.5
Japan,83.5
Japan,83.3
Japan,82.5
Japan,83
Japan,83
Japan,82.7
Japan,82.6
Japan,82.4
Japan,82
Japan,82.1
Japan,81.9
Japan,81.8
Japan,81.5
Japan,81.1
Jordan,74.1
Jordan,74
Jordan,73.9
Jordan,73.7
Jordan,73.6
Jordan,73.4
Jordan,73.3
Jordan,73.1
Jordan,73
Jordan,72.8
Jordan,72.4
Jordan,72.5
Jordan,72.3
Jordan,72.1
Jordan,71.9
Jordan,71.7
Kazakhstan,72
Kazakhstan,69.9
Kazakhstan,69.5
Kazakhstan,69.1
Kazakhstan,68.5
Kazakhstan,67.8
Kazakhstan,67.8
Kazakhstan,66.6
Kazakhstan,65.3
Kazakhstan,65
Kazakhstan,64.6
Kazakhstan,64.7
Kazakhstan,64.4
Kazakhstan,64.7
Kazakhstan,64.4
Kazakhstan,63.9
Kenya,63.4
Kenya,62.9
Kenya,62.6
Kenya,62.1
Kenya,61.2
Kenya,63
Kenya,59.1
Kenya,57.9
Kenya,56.8
Kenya,55.3
Kenya,54.1
Kenya,53
Kenya,52.4
Kenya,52.1
Kenya,51.9
Kenya,51.9
Kiribati,66.3
Kiribati,66.1
Kiribati,65.8
Kiribati,65.7
Kiribati,65.5
Kiribati,65.3
Kiribati,65.2
Kiribati,65.1
Kiribati,65
Kiribati,65
Kiribati,64.9
Kiribati,64.8
Kiribati,64.7
Kiribati,64.6
Kiribati,64.3
Kiribati,64.1
Kuwait,74.7
Kuwait,74.6
Kuwait,74.5
Kuwait,74.3
Kuwait,74.2
Kuwait,74
Kuwait,73.9
Kuwait,73.8
Kuwait,73.7
Kuwait,73.6
Kuwait,73.6
Kuwait,73.5
Kuwait,73.4
Kuwait,73.3
Kuwait,73.2
Kuwait,73.2
Kyrgyzstan,71.1
Kyrgyzstan,78
Kyrgyzstan,77
Kyrgyzstan,69.9
Kyrgyzstan,69.4
Kyrgyzstan,68.8
Kyrgyzstan,68.5
Kyrgyzstan,67.6
Kyrgyzstan,67.2
Kyrgyzstan,66.7
Kyrgyzstan,66.9
Kyrgyzstan,67.1
Kyrgyzstan,66.6
Kyrgyzstan,66.7
Kyrgyzstan,67.2
Kyrgyzstan,66.6
Lao People's Democratic Republic,65.7
Lao People's Democratic Republic,65.3
Lao People's Democratic Republic,64.9
Lao People's Democratic Republic,64.4
Lao People's Democratic Republic,64
Lao People's Democratic Republic,63.6
Lao People's Democratic Republic,63.1
Lao People's Democratic Republic,62.6
Lao People's Democratic Republic,62.1
Lao People's Democratic Republic,61.5
Lao People's Democratic Republic,61
Lao People's Democratic Republic,64
Lao People's Democratic Republic,59.8
Lao People's Democratic Republic,59.3
Lao People's Democratic Republic,58.7
